Latitude,Longitude,Accident Zone Area
13.094919,74.788079,Karnad Bypass
13.038784,74.794402,Pavanje
13.000117,74.796809,Thadambail
12.99587,74.798827,Surathkal Suraj Hotel
12.973449,74.804891,Hosabettu
12.973084,74.804358,Kulai
12.951404,74.809446,Jokatte Cross
12.928107,74.826084,Kulur
12.883815,74.863777,Nanthoor
12.889786,74.855355,Kpt
12.825269,74.859773,Kallapu
12.800081,74.857057,Kolya
12.91869,74.903612,Vamanjoor
12.89565,74.889781,Baithurly Junction
12.868746,74.916228,Adyar Katte
12.951868,74.934066,Vikas Nagar
13.111992,74.997341,Kesargadde
13.14559,74.992922,Matadakere
13.065153,74.988964,Ballal Hotel
12.883259,74.873328,Bikarnakatte
12.868064,74.926504,Adyar
12.944928,74.933791,Polali Dwara
12.9606,74.933305,Gurupura Kaikamba Junction
12.969212,74.941292,Suralpady
12.992742,74.962347,Yedapadavu
12.939711,74.92847,Gurupura
12.974157,74.925975,Eshwara Katte
12.980943,74.897844,Sunkada Katte
12.945954,74.867305,Maravoor
12.966705,74.87087,Anthony Katte
12.9741,74.87511,Tharikambla
13.003158,74.880861,Permude
13.004949,74.8638,Yekkar
12.988533,74.885172,Swamilapadavu
13.051668,74.97066,Handel Cross
13.108355,74.997763,Kempul Cross
12.960585,74.933329,Moodabidre Kaikamba Junction
12.980562,74.818221,Kana
12.943561,74.813892,Panambur Junction
12.926243,74.857985,Kavoor Junction
12.935299,74.859362,Marakada
12.912351,74.835217,Kodical Cross
12.985032,74.801816,Govindas
13.012466,74.792873,NITK Toll Gate
13.059235,74.834161,Padmanoor
13.066014,74.859877,Moorukaveri
13.07793,74.859355,Damaskatte
13.088645,74.788777,Karnad Gandhi Maidan
13.085821,74.794381,Kolnad
12.956855,74.808099,Baikampady
12.96804,74.805315,Honnakatte
12.928168,74.826052,Kudremukha Junction
12.851497,74.863528,Jappinamogaru
12.843453,74.936345,Adka
12.845659,74.859645,Netravati Bridge
12.780379,74.86287,Sankolige
12.868638,74.937739,Valachil
12.868657,74.931891,Somanath Katte
12.760181,74.874119,Talapady RTO Check Post
12.919506,74.909018,Kethikall
12.856503,74.867481,Ekkuru
12.793926,74.857519,Kotekar
12.909605,74.895941,Mangala Joythi
12.930065,74.888269,Moodshedde Cross
12.894664,74.909061,Neermarga
12.871535,74.88591,Padil
12.910215,74.836071,Kottara Chawki
12.888546,74.835008,Ladyhill Junction
12.885459,74.838814,Lalbagh
12.902442,74.840761,Daddal Cross
12.876897,74.856939,St Agnes School
12.867404,74.857833,Kankanady
12.849983,74.849375,Casia Junction
12.881242,74.854973,Kadri Kambla Junction
12.867894,74.847557,Falnir
13.095308,74.785695,Bappanadu
